ds,yhat,yhat_lower,yhat_upper,Actual Customers
2016-10-03,63.13125989534376,2.2658016890267882,118.28079043326052,8.0
2016-10-04,57.95117977763555,-1.8819885511857488,114.70812987826167,53.0
2016-10-05,50.31912223570762,-9.861340178305507,108.5468461852838,35.0
2016-10-06,41.3678446356898,-17.264344202036334,100.71406298455588,41.0
2016-10-07,32.46423406963988,-29.063762578819254,93.67324743794478,39.0
2016-10-08,-1.3671435125426967,-60.92170849211628,55.34284155007321,35.0
2016-10-09,6.834981555284934,-50.23614244726358,66.95152626361369,22.0
2016-10-10,44.39846102077947,-14.043981298527415,105.48261080908391,33.0
2016-10-11,40.1694291966743,-19.03727867459223,97.34007841623644,0.0
2016-10-12,33.377193650002425,-29.56092942915645,94.60622622098293,0.0
2016-10-13,25.130216531557103,-33.50952326515915,81.30166385528936,0.0
2016-10-14,16.77702876120854,-39.72656907310407,77.69209081154267,0.0
2016-10-15,-16.669519068338403,-74.27197217079083,42.85420598958375,0.0
2016-10-16,-8.252733448126492,-67.5618497774387,56.442925616155485,0.0
2016-10-17,29.358078346169272,-31.93186068489719,88.33320563946215,0.0
2016-10-18,25.0193553604554,-35.17134195755901,82.79332785466653,0.0
2016-10-19,17.977984678370035,-39.51673131805347,75.19102591659018,0.0
2016-10-20,9.366860637644123,-53.76834376114052,70.44001380712213,0.0
2016-10-21,0.5651529687929724,-59.50236033235714,62.44485485557412,0.0
2016-10-22,-33.37829653001238,-90.43029248592502,20.78389022415599,0.0
2016-10-23,-25.466491236423522,-87.24811921899128,32.69477006777712,0.0
2016-10-24,11.67467739191008,-47.86743001498888,71.7249136502658,0.0
2016-10-25,6.946851448765159,-52.988465023661945,66.16860847846205,0.0
2016-10-26,-0.5781911798907657,-55.241413890077354,59.91862142490347,0.0
2016-10-27,-9.502390390612632,-65.98612542481159,49.458088687399446,0.0
2016-10-28,-18.40466251230073,-81.81257508528172,34.31298407591651,0.0
2016-10-29,-52.198259744754225,-109.40846452524033,4.947187800539773,0.0
2016-10-30,-43.85365184366715,-104.20756515967533,12.334424467323545,0.0
2016-10-31,-5.970816933613094,-65.74992766962924,50.105978672375635,0.0
2016-11-01,-9.629913238709918,-74.4418047841863,48.72394666240176,0.0
2016-11-02,-15.5288971314003,-73.48901629737281,43.16195409245538,0.0
2016-11-03,-22.490115442877396,-85.93293965660398,34.852329194169535,0.0
2016-11-04,-29.101955017748665,-83.73534869522571,33.226357179396466,0.0
2016-11-05,-60.297069743326546,-121.20241896049892,0.058048156994221875,0.0
2016-11-06,-49.07517452325109,-110.12544234295316,12.518036469646768,0.0
2016-11-07,-8.074973679602408,-70.22697645477149,50.70416775198704,0.0
2016-11-08,-8.424199387205562,-66.07763392240028,51.97486126272328,0.0
2016-11-09,-10.876336773527385,-69.1270179163367,50.843230466059204,0.0
2016-11-10,-14.316082066568555,-71.7481365640661,45.85476487705328,0.0
2016-11-11,-17.399642010004968,-72.58081109199018,40.52711814310814,0.0
